epoch,reward
1,2.1923
2,1.1838
3,0.8985
4,4.0182
5,7.3595
6,2.3675
7,0.9453
8,1.6992
9,1.8901
10,4.5901
11,2.0948
12,0.9590
13,2.9288
14,7.3909
15,0.7791
16,0.9865
17,5.4521
18,1.7989
19,0.3248
20,47.3487
21,2.0152
22,0.8727
23,17.0038
24,1.3244
25,1.7061
26,2.2747
27,0.8235
28,1.0989
29,2.9662
30,2.1814
31,0.7431
32,0.8737
33,1.8717
34,0.3780
35,1.4387
36,7.5645
37,0.5739
38,8.4466
39,17.3877
40,20.2764
41,6.2401
42,5.8426
43,3.6135
44,1.9135
45,3.0977
46,3.6769
47,1.4548
48,11.0952
49,1.6577
50,0.7450
51,0.6631
52,14.1625
53,2.2636
54,2.5493
55,0.3053
56,0.4275
57,0.4498
58,2.1031
59,9.7964
60,0.4674
61,7.2315
62,3.6293
63,2.2388
64,5.3103
65,1.6818
66,0.8455
67,1.2595
68,2.5561
69,0.7152
70,2.1240
71,0.6439
72,0.4277
73,3.1103
74,17.7615
75,19.9123
76,0.9446
77,7.2826
78,0.6457
79,0.6968
80,1.7616
81,0.5419
82,0.3554
83,2.2879
84,1.6297
85,2.0206
86,0.4512
87,1.0845
88,0.8085
89,9.8390
90,1.3894
91,12.7291
92,9.4370
93,2.6313
94,1.0722
95,3.4900
96,3.0640
97,7.7296
98,6.6897
99,1.5023
100,1.2385
