ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,1599,1,0,0.999,0.001,0.000
1,2,1599,1,0,0.999,0.001,0.000
1,3,1599,1,0,0.999,0.001,0.000
1,4,1580,20,0,0.988,0.013,0.000
1,5,1502,98,0,0.939,0.061,0.000
1,6,1402,198,0,0.876,0.124,0.000
1,7,1343,257,0,0.839,0.161,0.000
1,8,1288,312,0,0.805,0.195,0.000
2,1,1599,1,0,0.999,0.001,0.000
2,2,1583,17,0,0.989,0.011,0.000
2,3,1540,60,0,0.963,0.037,0.000
2,4,1481,119,0,0.926,0.074,0.000
2,5,1397,203,0,0.873,0.127,0.000
2,6,1332,268,0,0.833,0.168,0.000
2,7,1242,358,0,0.776,0.224,0.000
2,8,1156,444,0,0.723,0.278,0.000
3,1,1599,1,0,0.999,0.001,0.000
3,2,1584,16,0,0.990,0.010,0.000
3,3,1543,57,0,0.964,0.036,0.000
3,4,1486,114,0,0.929,0.071,0.000
3,5,1394,206,0,0.871,0.129,0.000
3,6,1299,301,0,0.812,0.188,0.000
3,7,1212,388,0,0.757,0.242,0.000
3,8,1130,470,0,0.706,0.294,0.000
4,1,1599,1,0,0.999,0.001,0.000
4,2,1596,4,0,0.998,0.003,0.000
4,3,1574,26,0,0.984,0.016,0.000
4,4,1535,65,0,0.959,0.041,0.000
4,5,1471,129,0,0.919,0.081,0.000
4,6,1421,179,0,0.888,0.112,0.000
4,7,1377,223,0,0.861,0.139,0.000
4,8,1336,264,0,0.835,0.165,0.000
5,1,1599,1,0,0.999,0.001,0.000
5,2,1579,21,0,0.987,0.013,0.000
5,3,1528,72,0,0.955,0.045,0.000
5,4,1452,148,0,0.907,0.092,0.000
5,5,1350,250,0,0.844,0.156,0.000
5,6,1262,338,0,0.789,0.211,0.000
5,7,1149,451,0,0.718,0.282,0.000
5,8,1054,546,0,0.659,0.341,0.000
